pfa_ideal,pd_ideal,pfa_prop,pd_prop,pfa_naive,pd_naive,pfa_ed,pd_ed
0.998,1.0,0.998,1.0,0.998,1.0,1.0,0.998
0.704,1.0,0.738,1.0,0.766,1.0,1.0,0.998
0.58,1.0,0.626,1.0,0.688,1.0,1.0,0.998
0.488,1.0,0.564,1.0,0.624,1.0,1.0,0.998
0.422,1.0,0.52,1.0,0.564,1.0,1.0,0.998
0.374,1.0,0.458,1.0,0.514,1.0,1.0,0.998
0.328,1.0,0.416,1.0,0.476,1.0,1.0,0.998
0.298,1.0,0.374,1.0,0.446,1.0,1.0,0.998
0.26,1.0,0.352,1.0,0.414,1.0,1.0,0.998
0.234,1.0,0.332,1.0,0.394,1.0,1.0,0.998
0.208,1.0,0.298,1.0,0.366,1.0,1.0,0.998
0.186,1.0,0.272,1.0,0.348,1.0,1.0,0.998
0.18,1.0,0.246,1.0,0.326,1.0,1.0,0.998
0.154,1.0,0.224,1.0,0.312,0.998,1.0,0.998
0.132,1.0,0.206,1.0,0.298,0.998,1.0,0.998
0.12,1.0,0.19,1.0,0.286,0.998,1.0,0.998
0.11,1.0,0.176,1.0,0.268,0.996,1.0,0.998
0.088,1.0,0.16,1.0,0.244,0.996,1.0,0.998
0.078,1.0,0.152,1.0,0.226,0.996,1.0,0.998
0.074,1.0,0.148,1.0,0.214,0.996,1.0,0.998
0.07,1.0,0.14,1.0,0.202,0.996,1.0,0.998
0.064,1.0,0.128,1.0,0.194,0.992,1.0,0.998
0.056,1.0,0.116,1.0,0.184,0.992,1.0,0.998
0.054,1.0,0.114,1.0,0.172,0.992,1.0,0.998
0.042,1.0,0.112,1.0,0.164,0.988,1.0,0.998
0.04,1.0,0.096,0.998,0.156,0.986,0.998,0.998
0.038,1.0,0.094,0.998,0.154,0.984,0.998,0.998
0.036,1.0,0.088,0.998,0.15,0.984,0.998,0.998
0.032,1.0,0.088,0.998,0.142,0.982,0.998,0.998
0.03,1.0,0.082,0.998,0.134,0.982,0.998,0.998
0.028,1.0,0.08,0.998,0.124,0.978,0.998,0.998
0.026,1.0,0.074,0.998,0.114,0.978,0.998,0.998
0.026,1.0,0.072,0.998,0.11,0.976,0.998,0.998
0.022,1.0,0.068,0.998,0.104,0.974,0.998,0.998
0.016,1.0,0.064,0.998,0.098,0.972,0.998,0.996
0.014,1.0,0.064,0.998,0.096,0.972,0.998,0.996
0.012,1.0,0.06,0.998,0.096,0.972,0.998,0.996
0.008,1.0,0.058,0.998,0.09,0.972,0.998,0.996
0.006,1.0,0.052,0.998,0.09,0.972,0.998,0.996
0.004,1.0,0.05,0.998,0.082,0.972,0.998,0.996
0.004,1.0,0.042,0.998,0.074,0.972,0.998,0.996
0.004,1.0,0.042,0.996,0.068,0.97,0.998,0.996
0.004,1.0,0.04,0.996,0.066,0.968,0.998,0.996
0.004,1.0,0.04,0.996,0.062,0.962,0.998,0.996
0.004,1.0,0.04,0.996,0.058,0.962,0.998,0.996
0.002,1.0,0.04,0.996,0.054,0.962,0.998,0.996
0.002,1.0,0.034,0.996,0.054,0.96,0.998,0.996
0.002,1.0,0.032,0.996,0.054,0.96,0.998,0.996
0.0,1.0,0.03,0.996,0.048,0.956,0.998,0.996
0.0,1.0,0.028,0.996,0.048,0.956,0.998,0.996
0.0,1.0,0.028,0.996,0.046,0.954,0.998,0.996
0.0,0.998,0.026,0.996,0.044,0.95,0.998,0.996
0.0,0.998,0.022,0.996,0.038,0.946,0.998,0.996
0.0,0.996,0.022,0.996,0.036,0.946,0.998,0.996
0.0,0.996,0.022,0.994,0.036,0.944,0.998,0.996
0.0,0.996,0.022,0.994,0.036,0.94,0.998,0.996
