f_cut,eta_v10000,eta_v12500,eta_v15000,eta_v17500,eta_v20000
50,0.9991383053808246,0.9994160793076974,0.9999620070909679,0.9996754956691807,0.9991766803912145
100,0.9984130899123881,0.9990377569755906,0.9999137613496151,0.9992235173211007,0.9979835885361406
150,0.9981423322787354,0.9988428290987503,0.9995390678387776,0.999136163898887,0.9964634590474616
200,0.9976004161019484,0.9988136095810819,0.9990948472464192,0.9989633902586761,0.9952541749599282
250,0.9950455845169556,0.998404792208945,0.9989889465311051,0.9986622117211682,0.9946939861772712
300,0.9944063131450834,0.9974814541073075,0.9988647156459867,0.9982585227902852,0.9938266870056554
400,0.9938321611522632,0.9948005864097798,0.9982524146668207,0.9968679738290822,0.991708871314705
500,0.9933373605323651,0.9936163688317923,0.9970397725721387,0.995541405051679,0.9903530066384736
750,0.9883872632034174,0.9908824278394832,0.9945634442780499,0.9912771017366551,0.9868528215007334
1000,0.9836715440234631,0.9856662103879479,0.9933822787926277,0.987209469143805,0.9833497456629047
