freq,psd_raw,psd_proj
0.0,1.3812318703156857e-40,2.2477951211875365e-48
10.0,3.728981645697002e-08,7.312166353936467e-21
20.0,7.8055841349119e-14,2.9402163900393975e-20
30.0,2.271711766726282e-12,6.673697024421938e-20
40.0,7.442027729652579e-13,1.2011696222852025e-19
50.0,1.9000844606536878e-13,1.9071074842075796e-19
60.0,6.067815401404573e-13,2.80107559686795e-19
70.0,5.134109160321196e-13,3.903913290966879e-19
80.0,2.5519960088505422e-14,5.24242593158887e-19
90.0,3.316543975075451e-13,6.8507715379636395e-19
100.0,2.3201965723128567e-13,8.772345076468755e-19
110.0,1.4168132642216212e-13,1.1062350879443247e-18
120.0,2.0141312062739962e-13,1.3791345395910828e-18
130.0,1.5409846626980132e-13,1.7050174937611494e-18
140.0,5.3821398898737925e-14,2.0956959469874713e-18
150.0,1.3700303303509038e-13,2.5667141981065888e-18
160.0,4.4830211596411714e-14,3.138823923149733e-18
170.0,3.45786591676806e-14,3.840199113016312e-18
180.0,6.437678203498539e-14,4.709849631432075e-18
190.0,4.4714466535836e-14,5.803041777135311e-18
200.0,5.0299022890589716e-14,7.200209408914358e-18
210.0,3.550410732754424e-14,9.022210259178305e-18
220.0,1.80776234836263e-14,1.145773484831892e-17
230.0,1.7619754525776432e-14,1.481549777198507e-17
240.0,6.742401608329194e-15,1.9631010422856696e-17
250.0,1.6359141131475423e-14,2.69058101034045e-17
260.0,8.92803872752069e-15,3.871154346673566e-17
270.0,5.694468725946384e-15,5.999020554622863e-17
280.0,7.990463706448873e-15,1.0543685997344098e-16
290.0,6.272912004738044e-15,2.4019926013093964e-16
300.0,1.4205315482453558e-15,1.4043324157760025e-15
310.0,4.109941668133911e-16,4.0684251233631764e-16
320.0,1.9788692897744014e-15,2.099111766547963e-15
330.0,2.606530107604492e-15,2.5995485001506997e-15
340.0,3.103433494765333e-16,2.33097060262699e-16
350.0,5.049118391937829e-16,6.286043523899988e-16
360.0,2.350690144830788e-16,3.2800877354605895e-16
370.0,2.0251967990006187e-16,1.2965338540254073e-16
380.0,2.665103865980228e-16,3.6425759164715135e-16
390.0,2.392331938131199e-16,1.6508370730093747e-16
400.0,3.6604030416547216e-16,4.585476246375562e-16
410.0,8.660154539306595e-17,1.470289583532098e-16
420.0,3.3021782489331826e-16,4.0512162667617596e-16
430.0,4.023362905787487e-16,3.6774233907887025e-16
440.0,2.4182500926151983e-16,1.9604614159557684e-16
450.0,1.2152499433421672e-16,8.28538489536674e-17
460.0,2.6134860642291003e-16,2.362225166874333e-16
470.0,2.6540035054114277e-16,2.587402697147193e-16
480.0,2.4213282947925126e-16,2.484850176209725e-16
490.0,2.1391725171907337e-16,2.251009984489331e-16
500.0,1.8923720444958375e-16,1.9116727437810587e-16
510.0,1.0555923196864485e-16,1.3936043497066496e-16
520.0,9.22621860803377e-18,1.9097855376680173e-17
530.0,9.216615429816443e-18,1.6502858241103057e-17
540.0,7.739188491906323e-17,1.0416045924870134e-16
550.0,2.3741543072837877e-17,1.7258596033270964e-17
560.0,1.0012525522489286e-16,1.0794184316859399e-16
570.0,9.049678517170274e-17,9.421831758658126e-17
580.0,1.0633202855331501e-17,1.8795288594713873e-17
590.0,2.8216513823141684e-17,2.2199232258996336e-17
600.0,1.16971277613828e-17,2.1239306343653594e-17
610.0,6.286170755538869e-17,6.93570054549895e-17
620.0,5.570120687021559e-17,6.523173070195401e-17
630.0,4.3842188766539616e-17,5.685723308981022e-17
640.0,2.4895943602860377e-17,2.1446050804644667e-17
650.0,4.159206762932713e-17,5.1349694459873377e-17
660.0,2.962609203770004e-17,2.7236036297263934e-17
670.0,3.73890015433027e-17,3.953116599193002e-17
680.0,3.084356950828322e-17,3.052577669803937e-17
690.0,8.633520648281303e-18,1.3687010453403915e-17
700.0,2.5178611111244794e-17,3.438229547237138e-17
710.0,2.6041849036244265e-17,2.6918152290743738e-17
720.0,2.641506310598277e-17,2.9550091972053554e-17
730.0,1.2170806622131948e-17,1.2312681045899418e-17
740.0,1.294888967365563e-17,2.09415858272071e-17
750.0,2.1404467528883184e-17,2.4156549675665866e-17
760.0,1.2643139188443536e-17,2.0070492293678265e-17
770.0,7.296628655519314e-18,9.623163289556914e-18
780.0,1.4870665657085487e-17,1.5686262791874064e-17
790.0,1.3794557351663189e-17,1.4643637495118258e-17
800.0,7.264431167937102e-18,8.940522092282144e-18
810.0,1.430889714188816e-17,1.640895756730294e-17
820.0,1.0311828926315855e-17,1.6106948633646473e-17
830.0,8.054722045259926e-18,9.139478897382084e-18
840.0,8.30324935392625e-18,1.3647273564834832e-17
850.0,7.008251730485151e-18,8.29849540542245e-18
860.0,9.98559312532716e-18,1.1516934327495429e-17
870.0,7.571434540985098e-18,8.747917722368238e-18
880.0,6.262323532884608e-18,7.629226754802465e-18
890.0,6.5286590260495805e-18,1.0994402386593658e-17
900.0,6.3082234177597316e-18,1.0634680051374703e-17
910.0,5.601298650447766e-18,9.707004818944894e-18
920.0,7.804746102544794e-18,1.1263272033226728e-17
930.0,5.081351437991124e-18,6.553415601216199e-18
940.0,5.200573443043801e-18,6.610502717250951e-18
950.0,6.375140034546847e-18,8.014658993415065e-18
960.0,5.8785992306072695e-18,7.421330890846205e-18
970.0,3.6833529669116844e-18,6.6903534943031946e-18
980.0,6.071508875225617e-18,8.40825058402339e-18
990.0,4.5624315039706356e-18,5.992027634538926e-18
1000.0,4.791338120721883e-18,6.290112803137554e-18
1010.0,5.1425633283446505e-18,7.001065250543997e-18
1020.0,4.597414516170799e-18,6.1724992144174675e-18
1030.0,3.523019592969236e-18,4.9974145374423984e-18
1040.0,4.279204809443583e-18,7.001997856208477e-18
1050.0,4.43598958383319e-18,6.534228790983989e-18
1060.0,4.10473373533454e-18,6.556493712778898e-18
1070.0,3.871807767596134e-18,6.335360937861632e-18
1080.0,3.8984471925842624e-18,5.999547459907856e-18
1090.0,3.7472988311996565e-18,5.759884424633985e-18
1100.0,2.35910022060773e-18,4.036895896066521e-18
1110.0,3.1783904544793978e-18,4.658073003847005e-18
1120.0,2.1532759577666198e-18,4.142094836356911e-18
1130.0,2.7345153242052467e-18,4.117463066329341e-18
1140.0,2.3202368977735293e-18,3.72615640977033e-18
1150.0,2.899002903076547e-18,4.876103300801986e-18
1160.0,2.533195036471475e-18,4.674519246271661e-18
1170.0,1.8367090202904853e-18,3.600940564474599e-18
1180.0,2.531965250417234e-18,3.989812253285567e-18
1190.0,1.8271967009923323e-18,3.737408844429706e-18
1200.0,2.336757161764599e-18,3.744853418591163e-18
1210.0,1.6811800857407921e-18,3.1322903222122576e-18
1220.0,2.030236294031527e-18,3.9291660290216815e-18
1230.0,2.1617704703647e-18,3.863502085057209e-18
1240.0,1.9255008219243344e-18,3.2062759185509634e-18
1250.0,1.4492063286142854e-18,2.9662850525359767e-18
1260.0,1.9139134763066365e-18,3.580217370022066e-18
1270.0,1.8849852432440083e-18,3.4650449237160173e-18
1280.0,1.821501264202997e-18,3.1825665020684955e-18
1290.0,1.2927834359305467e-18,2.7299618494653706e-18
1300.0,1.3468051942186289e-18,2.5829171364864714e-18
1310.0,1.2257276497046213e-18,2.5822777486285886e-18
1320.0,1.392057473558158e-18,2.976998069960645e-18
1330.0,1.3003822768435394e-18,2.462389382450906e-18
1340.0,1.4250598056297269e-18,2.6007293176470555e-18
1350.0,1.2505076420667647e-18,2.7527289167818395e-18
1360.0,1.09343021268096e-18,2.4905082288016926e-18
1370.0,1.3546586285556438e-18,2.711214737300079e-18
1380.0,1.309062784742096e-18,2.6530549065256432e-18
1390.0,1.2416235930961314e-18,2.6031648186975883e-18
1400.0,9.990541322104352e-19,2.1195716898111835e-18
1410.0,9.792875287330446e-19,2.303949220683905e-18
1420.0,1.0654865674841657e-18,2.1207734074003436e-18
1430.0,8.845695383351843e-19,2.0767430388001653e-18
1440.0,1.0052383015068407e-18,2.3016712805730836e-18
