pfa_glrt,pd_glrt,pfa_ed,pd_ed
1.0,0.999,1.0,0.999
0.998,0.997,1.0,0.995
0.998,0.993,1.0,0.991
0.997,0.99,1.0,0.987
0.995,0.988,1.0,0.983
0.992,0.987,1.0,0.979
0.99,0.985,1.0,0.975
0.987,0.984,1.0,0.971
0.985,0.982,1.0,0.967
0.983,0.98,1.0,0.963
0.981,0.978,1.0,0.959
0.979,0.976,1.0,0.955
0.976,0.975,1.0,0.951
0.974,0.973,1.0,0.947
0.972,0.971,1.0,0.943
0.97,0.969,1.0,0.939
0.967,0.968,1.0,0.935
0.965,0.966,1.0,0.931
0.963,0.964,1.0,0.927
0.961,0.962,1.0,0.923
0.959,0.96,1.0,0.919
0.959,0.956,1.0,0.915
0.957,0.954,1.0,0.911
0.956,0.951,1.0,0.907
0.953,0.95,1.0,0.903
0.951,0.948,1.0,0.899
0.948,0.947,1.0,0.895
0.946,0.945,1.0,0.891
0.943,0.944,1.0,0.887
0.941,0.942,1.0,0.883
0.938,0.941,1.0,0.879
0.934,0.941,1.0,0.875
0.934,0.937,1.0,0.871
0.931,0.936,1.0,0.867
0.929,0.934,1.0,0.863
0.928,0.931,1.0,0.859
0.924,0.931,1.0,0.855
0.922,0.929,1.0,0.851
0.921,0.926,1.0,0.847
0.92,0.923,1.0,0.843
0.918,0.921,1.0,0.839
0.916,0.919,1.0,0.835
0.915,0.916,1.0,0.831
0.913,0.914,1.0,0.827
0.912,0.911,1.0,0.823
0.91,0.909,1.0,0.819
0.908,0.907,1.0,0.815
0.908,0.903,1.0,0.811
0.904,0.903,1.0,0.807
0.902,0.901,1.0,0.803
0.899,0.9,1.0,0.799
0.898,0.897,1.0,0.795
0.896,0.895,1.0,0.791
0.894,0.893,1.0,0.787
0.893,0.89,1.0,0.783
0.891,0.888,1.0,0.779
0.888,0.887,1.0,0.775
0.887,0.884,1.0,0.771
0.885,0.882,1.0,0.767
0.884,0.879,1.0,0.763
0.881,0.878,1.0,0.759
0.879,0.876,1.0,0.755
0.877,0.874,1.0,0.751
0.874,0.873,1.0,0.747
0.872,0.871,1.0,0.743
0.871,0.868,1.0,0.739
0.867,0.868,1.0,0.735
0.866,0.865,1.0,0.731
0.862,0.865,1.0,0.727
0.859,0.864,1.0,0.723
0.857,0.862,1.0,0.719
0.855,0.86,1.0,0.715
0.853,0.858,1.0,0.711
0.852,0.855,1.0,0.707
0.848,0.855,1.0,0.703
0.845,0.854,1.0,0.699
0.843,0.852,1.0,0.695
0.841,0.85,1.0,0.691
0.838,0.849,1.0,0.687
0.836,0.847,1.0,0.683
0.833,0.846,1.0,0.679
0.831,0.844,1.0,0.675
0.83,0.841,1.0,0.671
0.827,0.84,1.0,0.667
0.826,0.837,1.0,0.663
0.822,0.837,1.0,0.659
0.818,0.837,1.0,0.655
0.815,0.836,1.0,0.651
0.812,0.835,1.0,0.647
0.811,0.832,1.0,0.643
0.809,0.83,1.0,0.639
0.807,0.828,1.0,0.635
0.805,0.826,1.0,0.631
0.803,0.824,1.0,0.627
0.801,0.822,1.0,0.623
0.8,0.819,1.0,0.619
0.799,0.816,1.0,0.615
0.796,0.815,1.0,0.611
0.794,0.813,1.0,0.607
0.793,0.81,1.0,0.603
0.792,0.807,1.0,0.599
0.79,0.805,1.0,0.595
0.789,0.802,1.0,0.591
0.786,0.801,1.0,0.587
0.786,0.797,1.0,0.583
0.785,0.794,1.0,0.579
0.783,0.792,1.0,0.575
0.783,0.788,1.0,0.571
0.779,0.788,1.0,0.567
0.779,0.784,1.0,0.563
0.777,0.782,1.0,0.559
0.775,0.78,1.0,0.555
0.773,0.778,1.0,0.551
0.77,0.777,1.0,0.547
0.769,0.774,1.0,0.543
0.768,0.771,1.0,0.539
0.765,0.77,1.0,0.535
0.762,0.769,1.0,0.531
0.759,0.768,1.0,0.527
0.758,0.765,1.0,0.523
0.758,0.761,1.0,0.519
0.756,0.759,1.0,0.515
0.754,0.757,1.0,0.511
0.753,0.754,1.0,0.507
0.751,0.752,1.0,0.503
0.749,0.75,1.0,0.499
0.747,0.748,1.0,0.495
0.746,0.745,1.0,0.491
0.743,0.744,1.0,0.487
0.741,0.742,1.0,0.483
0.739,0.74,1.0,0.479
0.737,0.738,1.0,0.475
0.735,0.736,1.0,0.471
0.732,0.735,1.0,0.467
0.73,0.733,1.0,0.463
0.728,0.731,1.0,0.459
0.727,0.728,1.0,0.455
0.726,0.725,1.0,0.451
0.726,0.721,1.0,0.447
0.724,0.719,1.0,0.443
0.721,0.718,1.0,0.439
0.719,0.716,1.0,0.435
0.716,0.715,1.0,0.431
0.715,0.712,1.0,0.427
0.715,0.708,1.0,0.423
0.713,0.706,1.0,0.419
0.711,0.704,1.0,0.415
0.709,0.702,1.0,0.411
0.706,0.701,1.0,0.407
0.703,0.7,1.0,0.403
0.7,0.699,1.0,0.399
0.7,0.695,1.0,0.395
0.699,0.692,1.0,0.391
0.698,0.689,1.0,0.387
0.695,0.688,1.0,0.383
0.693,0.686,1.0,0.379
0.691,0.684,1.0,0.375
0.689,0.682,1.0,0.371
0.687,0.68,1.0,0.367
0.685,0.678,1.0,0.363
0.683,0.676,1.0,0.359
0.683,0.672,1.0,0.355
0.68,0.671,1.0,0.351
0.678,0.669,1.0,0.347
0.676,0.667,1.0,0.343
0.674,0.665,1.0,0.339
0.673,0.662,1.0,0.335
0.671,0.66,1.0,0.331
0.667,0.66,1.0,0.327
0.664,0.659,1.0,0.323
0.661,0.658,1.0,0.319
0.658,0.657,1.0,0.315
0.656,0.655,1.0,0.311
0.654,0.653,1.0,0.307
0.651,0.652,1.0,0.303
