t,phy,det,v,stat
-0.01,-3.254919753222358e-06,-8.695125153362968e-06,13000.0,1.8430324050602907e-08
-0.009995,-2.712170756924295e-06,1.3906161183282598e-05,13040.0,4.2511943851451265e-08
-0.00999,3.9627147587764545e-07,3.601277455245873e-08,13080.0,8.035602142790726e-08
-0.009985,-2.5132648602720826e-07,1.4447105998967408e-05,13120.0,2.212574726092176e-07
-0.009980000000000001,-1.2206562393251169e-07,-7.340353095709614e-07,13160.0,9.973794237649354e-08
-0.009975,3.425382553706652e-06,9.059380747878353e-07,13200.0,4.9175808578145425e-09
-0.00997,2.222712432356097e-06,-4.636844440393095e-06,13240.0,3.572686352679735e-08
-0.009965,-1.0875365312430962e-05,-1.4441135560434e-05,13280.0,1.1927406754554787e-07
-0.00996,-6.1206887247523e-05,-1.0979452066871224e-06,13320.0,6.846351475744734e-08
-0.009955,-1.0327544293729186e-05,-8.644264749050046e-06,13360.0,6.627385414470745e-08
-0.00995,-4.863479288269101e-06,1.4620263216069226e-05,13400.0,4.361764110531837e-08
-0.009945,1.0632555296670304e-06,-7.734854462043258e-07,13440.0,3.0825985833520745e-09
-0.009940000000000001,5.895349004972498e-07,1.141030952011547e-05,13480.0,8.20190470882398e-09
-0.009935,6.534578083294391e-09,1.2304026390856944e-06,13520.0,6.152428955019158e-08
-0.00993,2.239749023776928e-06,2.8536319114791897e-06,13560.0,9.178262885788321e-08
-0.009925,1.016043174203649e-06,-2.5569584456964205e-06,13600.0,8.018476635959215e-08
-0.00992,-5.427277025301638e-06,-1.6517169040647614e-05,13640.0,2.885748063417346e-09
-0.009915,-5.723650869533449e-06,-2.042674826614265e-06,13680.0,6.626901684766695e-09
-0.00991,2.217161480535239e-05,-7.143829249274482e-06,13720.0,3.4392243735324677e-10
-0.009905,-1.7523528744045253e-05,1.4836876556808263e-05,13760.0,3.9196371674619866e-08
-0.0099,2.7446469188685765e-06,-1.755669988392166e-06,13800.0,4.4381106484576034e-08
-0.009895000000000001,1.8588543205034078e-06,8.119331863204345e-06,13840.0,1.3513062536978286e-07
-0.00989,-6.011126498903744e-08,2.362933068692673e-06,13880.0,2.9515815424125578e-08
-0.009885,1.4757746874581314e-06,4.64824405890123e-06,13920.0,8.196068022379568e-09
-0.00988,6.323024992498228e-07,-1.3837357334434615e-06,13960.0,2.3830044338112464e-08
-0.009875,-3.7251963158855787e-06,-1.7366214301046644e-05,14000.0,1.358877641042473e-08
-0.00987,-3.0715260317509708e-06,-2.863869585029458e-06,14040.0,4.032219465595659e-10
-0.009865,6.334371916799296e-06,-4.769502198143919e-06,14080.0,8.979659882963978e-09
-0.00986,1.3836552926060024e-05,1.4871214743697563e-05,14120.0,6.181692556132356e-08
-0.009855000000000001,2.1676969461398207e-05,-2.5599973457093906e-06,14160.0,1.4614848385018687e-07
-0.00985,5.511075050633662e-06,4.772962788239832e-06,14200.0,4.012070793724143e-08
-0.009845,-2.485376457531295e-07,2.3687422117886247e-06,14240.0,6.638502917667871e-09
-0.00984,7.719953156086944e-07,6.191215572337249e-06,14280.0,8.501773162169644e-10
-0.009835,5.347706504961889e-07,-6.747044312579903e-07,14320.0,1.5549082224380482e-08
-0.00983,-2.8891016125880644e-06,-1.6948408042917686e-05,14360.0,7.184055917462833e-09
-0.009825,-2.373749108795232e-06,-3.781530833031866e-06,14400.0,2.877194165539652e-10
-0.00982,3.881686571821261e-06,-2.0754021797090344e-06,14440.0,7.974961959571566e-10
-0.009815,5.939874731528399e-06,1.4787226704437565e-05,14480.0,2.64840656089228e-10
-0.009810000000000001,-4.9987017662700036e-06,-2.898497222199884e-06,14520.0,1.039579344892823e-08
-0.009805,-0.000125882951173017,1.389718246895063e-06,14560.0,1.0774398349574907e-08
