velocity,statistic
13000.0,1.656880228856812e-07
13040.0,1.6568845182937132e-07
13080.0,1.656888820135505e-07
13120.0,1.6568931343770527e-07
13160.0,1.6568974610043995e-07
13200.0,1.6569018000173794e-07
13240.0,1.656906151405732e-07
13280.0,1.6569105151628016e-07
13320.0,1.6569148912784842e-07
13360.0,1.6569192797459153e-07
13400.0,1.656923680558369e-07
13440.0,1.656928093709137e-07
13480.0,1.656932519188126e-07
13520.0,1.6569369569880108e-07
13560.0,1.6569414071030172e-07
13600.0,1.6569458695226002e-07
13640.0,1.6569503442421244e-07
13680.0,1.6569548312498525e-07
13720.0,1.6569593305398615e-07
13760.0,1.6569638421073163e-07
13800.0,1.65696836593843e-07
13840.0,1.6569729020280557e-07
13880.0,1.656977450366583e-07
13920.0,1.6569820109485741e-07
13960.0,1.656986583764616e-07
14000.0,1.6569911688080378e-07
14040.0,1.6569957660671867e-07
14080.0,1.6570003755361553e-07
14120.0,1.657004997208603e-07
14160.0,1.6570096310733544e-07
14200.0,1.657014277121993e-07
14240.0,1.6570189353478544e-07
14280.0,1.6570236057437235e-07
14320.0,1.6570282882979426e-07
14360.0,1.6570329830035826e-07
14400.0,1.6570376898541274e-07
14440.0,1.6570424088372515e-07
14480.0,1.6570471399481924e-07
14520.0,1.657051883174377e-07
14560.0,1.657056638511734e-07
14600.0,1.657061405951303e-07
14640.0,1.6570661854813152e-07
14680.0,1.657070977094156e-07
14720.0,1.6570757807824675e-07
14760.0,1.6570805965367935e-07
14800.0,1.6570854243468394e-07
14840.0,1.657090264206789e-07
14880.0,1.6570951161069997e-07
14920.0,1.6570999800359927e-07
14960.0,1.657104855988765e-07
15000.0,1.6571097439534583e-07
15040.0,1.6571146439248628e-07
15080.0,1.6571195558902133e-07
15120.0,1.6571244798410758e-07
15160.0,1.6571294157690887e-07
15200.0,1.6571343636664553e-07
15240.0,1.6571393235216426e-07
15280.0,1.6571442953277122e-07
15320.0,1.6571492790744577e-07
15360.0,1.6571542747537828e-07
15400.0,1.6571592823545e-07
15440.0,1.6571643018686976e-07
15480.0,1.657169333286217e-07
15520.0,1.657174376600057e-07
15560.0,1.6571794317990406e-07
15600.0,1.657184498871935e-07
15640.0,1.6571895778132045e-07
15680.0,1.6571946686118044e-07
15720.0,1.6571997712568915e-07
15760.0,1.657204885739533e-07
15800.0,1.657210012053176e-07
15840.0,1.6572151501839744e-07
15880.0,1.6572203001242972e-07
15920.0,1.6572254618647965e-07
15960.0,1.6572306353966997e-07
16000.0,1.6572358207075658e-07
16040.0,1.6572410177883793e-07
16080.0,1.6572462266326533e-07
16120.0,1.6572514472257652e-07
16160.0,1.6572566795625247e-07
16200.0,1.6572619236282102e-07
16240.0,1.6572671794167969e-07
16280.0,1.6572724469148352e-07
16320.0,1.657277726118029e-07
16360.0,1.6572830170093207e-07
16400.0,1.6572883195845554e-07
16440.0,1.6572936338294471e-07
16480.0,1.6572989597382854e-07
16520.0,1.6573042972959414e-07
16560.0,1.6573096464951963e-07
16600.0,1.65731500732551e-07
16640.0,1.6573203797760323e-07
16680.0,1.6573257638374387e-07
16720.0,1.6573311594978282e-07
16760.0,1.657336566747847e-07
16800.0,1.657341985577824e-07
16840.0,1.6573474159764758e-07
16880.0,1.6573528579341046e-07
16920.0,1.6573583114393966e-07
16960.0,1.6573637764806212e-07
17000.0,1.657369253048373e-07
